CONM,TIC,CIK
VAPOTHERM INC,VAPO,1253176
LUXFER HOLDINGS PLC,LXFR,1096056
FORD MOTOR CO,F,37996
GENERAL DYNAMICS CORP,GD,40533
RAYTHEON CO,RTN,1047122
UNITEDHEALTH GROUP INC,UNH,731766
INTER PARFUMS INC,IPAR,822663
LIPOCINE INC,LPCN,1535955
ULTRAGENYX PHARMACEUTICAL,RARE,1515673
FLEXION THERAPEUTICS INC,FLXN,1419600
SAGE THERAPEUTICS INC,SAGE,1597553
MEDOVEX CORP,MDVX,1591165
CATABASIS PHARMACEUTICALS,CATB,1454789
AQUA METALS INC,AQMS,1621832
PROTAGONIST THERAPEUTICS INC,PTGX,1377121
FIRST MID BANCSHARES INC,FMBH,700565
TENABLE HOLDINGS INC,TENB,1660280
ARVINAS INC,ARVN,1655759
SOCKET MOBILE INC,SCKT,944075
ARADIGM CORP,ARDMQ,1013238
POWER INTEGRATIONS INC,POWI,833640
BSQUARE CORP,BSQR,1054721
ALPHABET INC,GOOGL,1652044
MIRATI THERAPEUTICS INC,MRTX,1576263
CAPELLA EDUCATION CO,CPLA,1104349
RADIUS HEALTH INC,RDUS,1428522
PUMA BIOTECHNOLOGY INC,PBYI,1401667
TESARO INC,TSRO,1491576
CHINA BIOLOGIC PRODUCTS HLDG,CBPO,1369868
FIRST SOLAR INC,FSLR,1274494
R1 RCM INC,RCM,1472595
CBOE GLOBAL MARKETS INC,CBOE,1374310
AMERICAN AIRLINES GROUP INC,AAL,6201
CECO ENVIRONMENTAL CORP,CECE,3197
AARON'S INC,AAN,706688
ABBOTT LABORATORIES,ABT,1800
ACME UNITED CORP,ACU,2098
BK TECHNOLOGIES CORP,BKTI,2186
ADAMS RESOURCES & ENERGY INC,AE,2178
ADVANCED MICRO DEVICES,AMD,2488
ALASKA AIR GROUP INC,ALK,766421
ATRION CORP,ATRI,701288
MATSON INC,MATX,3453
ALLEGHANY CORP,Y,775368
HONEYWELL INTERNATIONAL INC,HON,773840
PRIMERICA INC,PRI,1475922
US ECOLOGY INC,ECOL,1783400
AMERICAN EXPRESS CO,AXP,4962
AFLAC INC,AFL,4977
AMERICAN INTERNATIONAL GROUP,AIG,5272
AMERICAN NATIONAL INSURANCE,ANAT,904163
AMERICAN REALTY INVESTORS,ARL,1102238
AMERICAN VANGUARD CORP,AVD,5981
AMETEK INC,AME,1037868
AMGEN INC,AMGN,318154
AMPCO-PITTSBURGH CORP,AP,6176
ANDERSONS INC,ANDE,821026
NABORS INDUSTRIES LTD,NBR,1163739
TRECORA RESOURCES,TREC,7039
ARCHER-DANIELS-MIDLAND CO,ADM,7084
ARCBEST CORP,ARCB,894405
ARROW ELECTRONICS INC,ARW,7536
ARTS WAY MFG INC,ARTW,7623
ASTRONICS CORP,ATRO,8063
AVERY DENNISON CORP,AVY,8818
AVON PRODUCTS,AVP,8868
BADGER METER INC,BMI,9092
BALCHEM CORP  -CL B,BCPC,9326
PROTECTIVE INSURANCE CORP,PTVCB,9346
BALL CORP,BLL,9389
BANK OF HAWAII CORP,BOH,46195
BARNES GROUP INC,B,9984
BAXTER INTERNATIONAL INC,BAX,10456
BEL FUSE INC,BELFB,729580
VERIZON COMMUNICATIONS INC,VZ,732712
BEMIS CO INC,BMS,11199
BIO-RAD LABORATORIES INC,BIO,12208
VALARIS PLC,VAL,314808
BOEING CO,BA,12927
ROBERT HALF INTL INC,RHI,315213
RESOLUTE FOREST PRODUCTS INC,RFP,1393066
BRISTOL-MYERS SQUIBB CO,BMY,14272
BRUNSWICK CORP,BC,14930
MATERION CORP,MTRN,1104657
MASTEC INC,MTZ,15615
UNISYS CORP,UIS,746838
CIGNA CORP,CI,1739940
CNA FINANCIAL CORP,CNA,21175
CSX CORP,CSX,277948
CTS CORP,CTS,26058
CVD EQUIPMENT CORP,CVV,766792
CALIFORNIA WATER SERVICE GP,CWT,1035201
CARLISLE COS INC,CSL,790051
CATERPILLAR INC,CAT,18230
CENTURYLINK INC,CTL,18926
MAGELLAN HEALTH INC,MGLN,19411
CHEMED CORP,CHE,19584
JPMORGAN CHASE & CO,JPM,19617
CHESAPEAKE UTILITIES CORP,CPK,19745
CELSION CORP,CLSN,749647
CHEVRON CORP,CVX,93410
CHICAGO RIVET & MACHINE CO,CVR,19871
CHURCH & DWIGHT INC,CHD,313927
CHURCHILL DOWNS INC,CHDN,20212
CINCINNATI BELL INC,CBB,716133
CLEVELAND-CLIFFS INC,CLF,764065
COCA COLA CONSOLIDATED INC,COKE,317540
COCA-COLA CO,KO,21344
COEUR MINING INC,CDE,215466
COHU INC,COHU,21535
ONCOMED PHARMACEUTICALS,OMED,1302573
COLGATE-PALMOLIVE CO,CL,21665
AON PLC,AON,1808065
COMCAST CORP,CMCSA,1166691
COMERICA INC,CMA,28412
COMMERCE BANCSHARES INC,CBSH,22356
CITIGROUP INC,C,831001
COMMUNICATIONS SYSTEMS INC,JCS,22701
AVIS BUDGET GROUP INC,CAR,723612
COMPUTER TASK GROUP INC,CTG,23111
SHUTTERSTOCK INC,SSTK,1549346
CONNECTICUT WATER SVC INC,CTWS,276209
TRANSCONTINENTAL RLTY INVS,TCI,733590
CONSOLIDATED EDISON INC,ED,1047862
BIGLARI HOLDINGS INC,BH,1726173
CMS ENERGY CORP,CMS,811156
CONTINENTAL MATERIALS CORP,CUO,24104
CONTINENTAL RESOURCES INC,CLR,732834
COOPER TIRE & RUBBER CO,CTB,24491
MOLSON COORS BEVERAGE CO,TAP,24545
CORNING INC,GLW,24741
CRANE CO,CR,25445
CRAWFORD & CO,CRD.A,25475
ONEMAIN HOLDINGS INC,OMF,1584207
CROWN HOLDINGS INC,CCK,1219601
CULLEN/FROST BANKERS INC,CFR,39263
CUMMINS INC,CMI,26172
CURTISS-WRIGHT CORP,CW,26324
WENDY'S CO,WEN,30697
DANA INC,DAN,26780
DANAHER CORP,DHR,313616
DATA I/O CORP,DAIO,351998
DAWSON GEOPHYSICAL CO,DWSN,799165
DELTA AIR LINES INC,DAL,27904
DIEBOLD NIXDORF INC,DBD,28823
NORTECH SYSTEMS INC,NSYS,722313
DIODES INC,DIOD,29002
DIXIE GROUP INC,DXYN,29332
DOMINION ENERGY INC,D,715957
DONNELLEY (R R) & SONS CO,RRD,29669
DOVER CORP,DOV,29905
DUPONT DE NEMOURS INC,DD,1666700
OMNICOM GROUP,OMC,29989
DUCOMMUN INC,DCO,30305
FLOWSERVE CORP,FLS,30625
PERKINELMER INC,PKI,31791
EASTERN CO,EML,31107
EASTMAN KODAK CO,KODK,31235
EATON CORP PLC,ETN,1551182
EATON VANCE CORP,EV,350797
ECOLAB INC,ECL,31462
EL PASO ELECTRIC CO,EE,31978
ELECTRO-SENSORS INC,ELSE,351789
SORL AUTO PARTS INC,SORL,714284
WEATHERFORD INTL PLC,WFTLF,1603923
MARATHON PATENT GROUP INC,MARA,1507605
ENZON PHARMACEUTICALS INC,ENZN,727510
EQUIFAX INC,EFX,33185
ESCALADE INC,ESCA,33488
NEWMARKET CORP,NEU,1282637
KINGSTONE COS INC,KINS,33992
EXPEDITORS INTL WASH INC,EXPD,746515
DMC GLOBAL INC,BOOM,34067
EXXON MOBIL CORP,XOM,34088
FMC CORP,FMC,37785
NEXTERA ENERGY INC,NEE,753308
FEDERAL SIGNAL CORP,FSS,277509
FERRO CORP,FOE,35214
FIFTH THIRD BANCORP,FITB,35527
REGIONS FINANCIAL CORP,RF,1281761
TRUSTMARK CORP,TRMK,36146
FIRST CITIZENS BANCSH  -CL A,FCNCA,798941
M & T BANK CORP,MTB,36270
U S BANCORP,USB,36104
FIRST HORIZON NATIONAL CORP,FHN,36966
FLANIGANS ENTERPRISES INC,BDL,12040
FLOWERS FOODS INC,FLO,1128928
FLUOR CORP,FLR,1124198
FOSTER (LB) CO,FSTR,352825
FRANKLIN ELECTRIC CO INC,FELE,38725
FULLER (H. B.) CO,FUL,39368
GATX CORP,GATX,40211
ARTHUR J GALLAGHER & CO,AJG,354190
TEGNA INC,TGNA,39899
AEROJET ROCKETDYNE HOLDINGS,AJRD,40888
ALLY FINANCIAL INC,ALLY,40729
GENERAL MOTORS CO,GM,1467858
SPX CORP,SPXC,88205
GENTEX CORP,GNTX,355811
GENUINE PARTS CO,GPC,40987
GLATFELTER,GLT,41719
GOLDFIELD CORP,GV,42316
GOODYEAR TIRE & RUBBER CO,GT,42582
GORMAN-RUPP CO,GRC,42682
GRACE (W R) & CO,GRA,1045309
GRACO INC,GGG,42888
GRAY TELEVISION INC,GTN,43196
MONEYGRAM INTERNATIONAL INC,MGI,1273931
HALLIBURTON CO,HAL,45012
HARSCO CORP,HSC,45876
HASBRO INC,HAS,46080
ALLIED MOTION TECHNOLOGIES,AMOT,46129
HAVERTY FURNITURE,HVT,216085
HAWAIIAN ELECTRIC INDS,HE,354707
HEALTHCARE SERVICES GROUP,HCSG,731012
STERLING CONSTRUCTION CO INC,STRL,874238
HECLA MINING CO,HL,719413
KRAFT HEINZ CO,KHC,1637459
HERTZ GLOBAL HOLDINGS INC,HTZ,1657853
HEXCEL CORP,HXL,717605
HILTON WORLDWIDE HOLDINGS,HLT,1585689
HOLLYFRONTIER CORP,HFC,48039
HNI CORP,HNI,48287
HOOPER HOLMES INC,HPHWQ,741815
CENTERPOINT ENERGY INC,CNP,1130310
HUBBELL INC,HUBB,48898
HUNT (JB) TRANSPRT SVCS INC,JBHT,728535
HUNTINGTON BANCSHARES,HBAN,49196
HUTTIG BUILDING PRODUCTS INC,HBP,1093082
BBX CAPITAL CORP,BBX,315858
ITT INC,ITT,216228
RAYONIER INC,RYN,52827
IDACORP INC,IDA,1057877
ILLINOIS TOOL WORKS,ITW,49826
TELIGENT INC,TLGT,352998
IMPERIAL OIL LTD,IMO,49938
TRANE TECHNOLOGIES PLC,TT,1466258
RYERSON HOLDING CORP,RYI,1481582
AEGION CORP,AEGN,353020
INTEL CORP,INTC,50863
INTELLIGENT SYSTEM CORP,INS,320340
INTERFACE INC,TILE,715787
INTL BUSINESS MACHINES CORP,IBM,51143
INTL FLAVORS & FRAGRANCES,IFF,51253
INTERDIGITAL INC,IDCC,1405495
INTL PAPER CO,IP,51434
INTERPUBLIC GROUP OF COS,IPG,51644
INVACARE CORP,IVC,742112
ISRAMCO INC,ISRL,719209
ANIXTER INTL INC,AXE,52795
EMCOR GROUP INC,EME,105634
JEFFERIES GROUP LLC,LUK2,1084580
JOHNSON & JOHNSON,JNJ,200406
KINDER MORGAN INC,KMI,1506307
PRIMEENERGY RESOURCES CORP,PNRG,56868
KANSAS CITY SOUTHERN,KSU,54480
EVERGY INC,EVRG,1711269
KELLOGG CO,K,55067
KELLY SERVICES INC  -CL A,KELYA,55135
KIMBERLY-CLARK CORP,KMB,55785
KIRBY CORP,KEX,56047
LSB INDUSTRIES INC,LXU,60714
LAWSON PRODUCTS,LAWS,703604
LEGGETT & PLATT INC,LEG,58492
JEFFERIES FINANCIAL GRP INC,JEF,96223
LILLY (ELI) & CO,LLY,59478
LINCOLN ELECTRIC HLDGS INC,LECO,59527
LINCOLN NATIONAL CORP,LNC,59558
LOCKHEED MARTIN CORP,LMT,936468
LOEWS CORP,L,60086
LOUISIANA-PACIFIC CORP,LPX,60519
LYDALL INC,LDL,60977
LGL GROUP INC,LGL,61004
MDC HOLDINGS INC,MDC,773141
MDU RESOURCES GROUP INC,MDU,67716
MGE ENERGY INC,MGEE,1161728
MANITOWOC CO,MTW,61986
MARCUS CORP,MCS,62234
MARSH & MCLENNAN COS,MMC,62709
MASCO CORP,MAS,62996
MATTEL INC,MAT,63276
MAXWELL TECHNOLOGIES INC,MXWL,319815
MAYS (J.W.) INC,MAYS,54187
MCDONALD'S CORP,MCD,63908
MCGRATH RENTCORP,MGRC,752714
S&P GLOBAL INC,SPGI,64040
MECHANICAL TECHNOLOGY INC,MKTY,64463
CVS HEALTH CORP,CVS,64803
MERCK & CO,MRK,310158
SIEBERT FINANCIAL CORP,SIEB,65596
ENTERGY CORP,ETR,65984
MIDDLESEX WATER CO,MSEX,66004
MSA SAFETY INC,MSA,66570
3M CO,MMM,66740
ALLETE INC,ALE,66756
QUIDEL CORP,QDEL,353569
MOOG INC  -CL A,MOG.A,67887
MOTOROLA SOLUTIONS INC,MSI,68505
MYERS INDUSTRIES INC,MYE,69488
MYLAN NV,MYL,1623613
BANK OF AMERICA CORP,BAC,70858
NCR CORP,NCR,70866
NL INDUSTRIES,NL,72162
NATIONAL HEALTHCARE CORP,NHC,1047335
TENET HEALTHCARE CORP,THC,70318
GP STRATEGIES CORP,GPX,70415
NATIONAL PRESTO INDS INC,NPK,80172
NATURES SUNSHINE PRODS INC,NATR,275053
NEW YORK TIMES CO  -CL A,NYT,71691
NEWMONT CORP,NEM,1164727
NEWPARK RESOURCES,NR,71829
NORFOLK SOUTHERN CORP,NSC,702165
NACCO INDUSTRIES  -CL A,NC,789933
NISOURCE INC,NI,1111711
NORTHERN TRUST CORP,NTRS,73124
NORTHROP GRUMMAN CORP,NOC,1133421
TEREX CORP,TEX,97216
NORTHWEST NATURAL HLDNG CO,NWN,1733998
NORTHWESTERN CORP,NWE,73088
WELLS FARGO & CO,WFC,72971
NUCOR CORP,NUE,73309
NEWTEK BUSINESS SERVICES CP,NEWT,1587987
OCEAN BIO-CHEM INC,OBCI,350737
OCEANEERING INTERNATIONAL,OII,73756
FIRSTENERGY CORP,FE,1031296
OLIN CORP,OLN,74303
ONEOK INC,OKE,1039684
OTTER TAIL CORP,OTTR,1466593
OVERSEAS SHIPHOLDING GROUP,OSG,75208
OWENS & MINOR INC,OMI,75252
OWENS CORNING,OC,1370946
O-I GLASS INC,OI,812074
P & F INDUSTRIES  -CL A,PFIN,75340
PNC FINANCIAL SVCS GROUP INC,PNC,713676
PPG INDUSTRIES INC,PPG,79879
PACCAR INC,PCAR,75362
SEMPRA ENERGY,SRE,1032208
PAR TECHNOLOGY CORP,PAR,708821
PARK OHIO HOLDINGS CORP,PKOH,76282
PARKER DRILLING CO,PKDC,76321
PATRICK INDUSTRIES INC,PATK,76605
GOODRICH PETROLEUM CORP,GDP,943861
AMERICAN FINANCIAL GROUP INC,AFG,1042046
PENTAIR PLC,PNR,77360
PEPSICO INC,PEP,77476
TUTOR PERINI CORP,TPC,77543
PHI INC,PHIKQ,350403
PFIZER INC,PFE,78003
EXELON CORP,EXC,1109357
ESSENTIAL UTILITIES INC,WTRG,78128
ALTRIA GROUP INC,MO,764180
PIPER SANDLER COS,PIPR,1230245
PITNEY BOWES INC,PBI,78814
POTLATCHDELTIC CORP,PCH,1338749
PUBLIC SERVICE ENTRP GRP INC,PEG,788784
PULTEGROUP INC,PHM,822416
PURE CYCLE CORP,PCYO,276720
QUAKER CHEMICAL CORP,KWR,81362
RCM TECHNOLOGIES INC,RCMT,700841
RPC INC,RES,742278
U S LIME & MINERALS,USLM,82020
REGAL BELOIT CORP,RBC,82811
AUTONATION INC,AN,350698
ROGERS CORP,ROG,84748
ROLLINS INC,ROL,84839
ROWAN COMPANIES PLC,RDC,85408
RYDER SYSTEM INC,R,85961
SEI INVESTMENTS CO,SEIC,350894
SJW GROUP,SJW,766829
SCHLUMBERGER LTD,SLB,87347
SEALED AIR CORP,SEE,1012100
INTRICON CORP,IIN,88790
SERVICE CORP INTERNATIONAL,SCI,89089
SERVOTRONICS INC,SVT,89140
SHENANDOAH TELECOMMUN CO,SHEN,354963
SHERWIN-WILLIAMS CO,SHW,89800
MCEWEN MINING INC,MUX,314203
SMITH (A.O.),AOS,91142
SNAP-ON INC,SNA,91440
KEYCORP,KEY,91576
SONOCO PRODUCTS CO,SON,91767
SOUTH JERSEY INDUSTRIES INC,SJI,91928
PIONEER ENERGY SERVICES CORP,PESXQ,320575
EDISON INTERNATIONAL,EIX,827052
AMERICAN STATES WATER CO,AWR,1056903
SOUTHWEST AIRLINES,LUV,92380
SOUTHWEST GAS HOLDINGS INC,SWX,1692115
AT&T INC,T,732717
SPARTAN MOTORS INC,SPAR,743238
STAAR SURGICAL CO,STAA,718937
