CONM,TIC,CIK,SIC
AAR CORP,AIR,0000001750,5080
ABBOTT LABORATORIES,ABT,0000001800,3845
ACME UNITED CORP,ACU,0000002098,3420
ADAMS RESOURCES & ENERGY INC,AE,0000002178,5172
BK TECHNOLOGIES CORP,BKTI,0000002186,3663
ADVANCED MICRO DEVICES,AMD,0000002488,3674
AIR PRODUCTS & CHEMICALS INC,APD,0000002969,2810
AKORN INC,AKRX,0000003116,2834
CECO ENVIRONMENTAL CORP,CECE,0000003197,3564
MATSON INC,MATX,0000003453,4400
ALICO INC,ALCO,0000003545,0100
CHENIERE ENERGY INC,LNG,0000003570,1311
SKYWORKS SOLUTIONS INC,SWKS,0000004127,3674
INDUSTRIAL SERVICES AMER INC,IDSA,0000004187,4953
HOWMET AEROSPACE INC,HWM,0000004281,3728
AMERCO,UHAL,0000004457,7510
AMERICAN VANGUARD CORP,AVD,0000005981,2870
AMPCO-PITTSBURGH CORP,AP,0000006176,3460
AMERICAN AIRLINES GROUP INC,AAL,0000006201,4512
ANALOG DEVICES,ADI,0000006281,3674
APOGEE ENTERPRISES INC,APOG,0000006845,3442
STAGE STORES INC,SSI,0000006885,5651
APPLIED MATERIALS INC,AMAT,0000006951,3559
ENERPAC TOOL GROUP CORP,EPAC,0000006955,3533
TRECORA RESOURCES,TREC,0000007039,2911
ARCHER-DANIELS-MIDLAND CO,ADM,0000007084,2070
ARMSTRONG WORLD INDUSTRIES,AWI,0000007431,3290
ARROW ELECTRONICS INC,ARW,0000007536,5065
ARTS WAY MFG INC,ARTW,0000007623,3523
ASTRONICS CORP,ATRO,0000008063,3640
ASTRONOVA INC,ALOT,0000008146,3577
AUTOMATIC DATA PROCESSING,ADP,0000008670,7374
AVERY DENNISON CORP,AVY,0000008818,2670
AVNET INC,AVT,0000008858,5065
AVON PRODUCTS,AVP,0000008868,2844
AZZ INC,AZZ,0000008947,3640
BADGER METER INC,BMI,0000009092,3824
BALCHEM CORP  -CL B,BCPC,0000009326,2834
BALL CORP,BLL,0000009389,3411
BARNES GROUP INC,B,0000009984,3490
EARTHSTONE ENERGY INC,ESTE,0000010254,1311
BASSETT FURNITURE INDS,BSET,0000010329,2511
BAXTER INTERNATIONAL INC,BAX,0000010456,2834
BECTON DICKINSON & CO,BDX,0000010795,3841
BEMIS CO INC,BMS,0000011199,2670
FLANIGANS ENTERPRISES INC,BDL,0000012040,5812
BIO-RAD LABORATORIES INC,BIO,0000012208,3826
BLOCK H & R INC,HRB,0000012659,7200
BOEING CO,BA,0000012927,3721
BOWL AMERICA INC  -CL A,BWL.A,0000013573,7900
BRIDGFORD FOODS CORP,BRID,0000014177,2013
BRIGGS & STRATTON,BGG,0000014195,3510
BRISTOL-MYERS SQUIBB CO,BMY,0000014272,2834
BROWN FORMAN CORP,BF.B,0000014693,2085
CALERES INC,CAL,0000014707,3140
BRUNSWICK CORP,BC,0000014930,3510
MASTEC INC,MTZ,0000015615,1623
CABOT CORP,CBT,0000016040,2890
CACI INTL INC  -CL A,CACI,0000016058,7373
LUBYS INC,LUB,0000016099,5812
CAL-MAINE FOODS INC,CALM,0000016160,0200
CAMPBELL SOUP CO,CPB,0000016732,2030
CONSTELLATION BRANDS,STZ,0000016918,2082
CARPENTER TECHNOLOGY CORP,CRS,0000017843,3312
CATERPILLAR INC,CAT,0000018230,3531
CATO CORP  -CL A,CATO,0000018255,5621
GENESCO INC,GCO,0000018498,5661
CENTURYLINK INC,CTL,0000018926,4813
MAGELLAN HEALTH INC,MGLN,0000019411,8741
CANTEL MEDICAL CORP,CMD,0000019446,3845
CHEMED CORP,CHE,0000019584,8082
CHESAPEAKE UTILITIES CORP,CPK,0000019745,4923
CHICAGO RIVET & MACHINE CO,CVR,0000019871,3452
CHURCHILL DOWNS INC,CHDN,0000020212,7990
FRONTIER COMMUNICATIONS CORP,FTR,0000020520,4813
CSS INDUSTRIES INC,CSS,0000020629,2670
CLOROX CO/DE,CLX,0000021076,2842
COCA-COLA CO,KO,0000021344,2086
COHERENT INC,COHR,0000021510,3826
COHU INC,COHU,0000021535,3825
COLGATE-PALMOLIVE CO,CL,0000021665,2844
COMMERCIAL METALS,CMC,0000022444,3312
COMMUNICATIONS SYSTEMS INC,JCS,0000022701,3661
COMPUTER TASK GROUP INC,CTG,0000023111,7370
COMSTOCK RESOURCES INC -OLD,CRK,0000023194,1311
COMTECH TELECOMMUN,CMTL,0000023197,3663
CONAGRA BRANDS INC,CAG,0000023217,2000
CONTINENTAL MATERIALS CORP,CUO,0000024104,3585
COOPER TIRE & RUBBER CO,CTB,0000024491,3011
MOLSON COORS BEVERAGE CO,TAP,0000024545,2082
CORNING INC,GLW,0000024741,3679
CRANE CO,CR,0000025445,3490
THERAPEUTICSMD INC,TXMD,0000025743,2834
CROWN CRAFTS INC,CRWS,0000025895,2211
CTS CORP,CTS,0000026058,3670
CUBIC CORP,CUB,0000026076,3578
CUMMINS INC,CMI,0000026172,3510
CURTISS-WRIGHT CORP,CW,0000026324,3728
DANA INC,DAN,0000026780,3714
TARGET CORP,TGT,0000027419,5331
DELTA AIR LINES INC,DAL,0000027904,4512
DIEBOLD NIXDORF INC,DBD,0000028823,3578
DILLARDS INC  -CL A,DDS,0000028917,5311
DIODES INC,DIOD,0000029002,3674
DIXIE GROUP INC,DXYN,0000029332,2273
DOLLAR GENERAL CORP,DG,0000029534,5331
DONALDSON CO INC,DCI,0000029644,3714
DONNELLEY (R R) & SONS CO,RRD,0000029669,2750
DOVER CORP,DOV,0000029905,3585
OMNICOM GROUP,OMC,0000029989,7311
DUCOMMUN INC,DCO,0000030305,3728
FLOWSERVE CORP,FLS,0000030625,3561
WENDY'S CO,WEN,0000030697,5812
DYNASIL CORP OF AMERICA,DYSL,0000030831,3827
EASTERN CO,EML,0000031107,3420
EASTMAN KODAK CO,KODK,0000031235,3577
ECOLAB INC,ECL,0000031462,2842
EDUCATIONAL DEVELOPMENT CORP,EDUC,0000031667,5190
PERKINELMER INC,PKI,0000031791,3826
EL PASO ELECTRIC CO,EE,0000031978,4911
EMERSON ELECTRIC CO,EMR,0000032604,3823
EMERSON RADIO CORP,MSN,0000032621,3651
ENNIS INC,EBF,0000033002,2761
EQUIFAX INC,EFX,0000033185,7323
ESCALADE INC,ESCA,0000033488,3949
ESPEY MFG & ELECTRONICS CORP,ESP,0000033533,3679
DMC GLOBAL INC,BOOM,0000034067,3533
EXXON MOBIL CORP,XOM,0000034088,2911
FARMER BROTHERS CO,FARM,0000034563,2090
FERRO CORP,FOE,0000035214,2851
CORELOGIC INC,CLGX,0000036047,7374
FLEXSTEEL INDUSTRIES INC,FLXS,0000037472,2510
FMC CORP,FMC,0000037785,2870
FORD MOTOR CO,F,0000037996,3711
FORWARD INDUSTRIES INC,FORD,0000038264,3100
FRANKLIN ELECTRIC CO INC,FELE,0000038725,3621
FREQUENCY ELECTRONICS INC,FEIM,0000039020,3825
FRIEDMAN INDUSTRIES INC,FRD,0000039092,3310
FULLER (H. B.) CO,FUL,0000039368,2891
TEGNA INC,TGNA,0000039899,4833
GAP INC,GPS,0000039911,5651
GATX CORP,GATX,0000040211,4700
GENERAL DYNAMICS CORP,GD,0000040533,3721
GEE GROUP INC,JOB,0000040570,7361
GENERAL MILLS INC,GIS,0000040704,2040
AEROJET ROCKETDYNE HOLDINGS,AJRD,0000040888,3760
GENUINE PARTS CO,GPC,0000040987,5013
GLATFELTER,GLT,0000041719,2621
GOLDFIELD CORP,GV,0000042316,1623
GOODYEAR TIRE & RUBBER CO,GT,0000042582,3011
GORMAN-RUPP CO,GRC,0000042682,3561
GRACO INC,GGG,0000042888,3561
GRAY TELEVISION INC,GTN,0000043196,4833
GREIF INC  -CL A,GEF,0000043920,2650
HALLIBURTON CO,HAL,0000045012,1389
HARSCO CORP,HSC,0000045876,3390
HARTE HANKS INC,HHS,0000045919,7331
HASBRO INC,HAS,0000046080,3944
ALLIED MOTION TECHNOLOGIES,AMOT,0000046129,3621
HAWKINS INC,HWKN,0000046250,5160
HEICO CORP,HEI,0000046619,3724
HELMERICH & PAYNE,HP,0000046765,1381
HP INC,HPQ,0000047217,3570
HILL-ROM HOLDINGS INC,HRC,0000047518,2590
HOLLYFRONTIER CORP,HFC,0000048039,2911
HNI CORP,HNI,0000048287,2522
HORMEL FOODS CORP,HRL,0000048465,2011
HUBBELL INC,HUBB,0000048898,3640
IEC ELECTRONICS CORP,IEC,0000049728,3672
ILLINOIS TOOL WORKS,ITW,0000049826,3560
IMPERIAL OIL LTD,IMO,0000049938,2911
PARK CITY GROUP INC,PCYG,0000050471,7372
INGLES MARKETS INC  -CL A,IMKTA,0000050493,5411
GRIFFON CORP,GFF,0000050725,3420
INTEL CORP,INTC,0000050863,3674
INTL BUSINESS MACHINES CORP,IBM,0000051143,7370
INTL FLAVORS & FRAGRANCES,IFF,0000051253,2860
INTL PAPER CO,IP,0000051434,2631
INTERPUBLIC GROUP OF COS,IPG,0000051644,7311
ANIXTER INTL INC,AXE,0000052795,5065
JACOBS ENGINEERING GROUP INC,J,0000052988,1600
KANSAS CITY SOUTHERN,KSU,0000054480,4011
KELLOGG CO,K,0000055067,2040
KELLY SERVICES INC  -CL A,KELYA,0000055135,7363
KENNAMETAL INC,KMT,0000055242,3540
KEWAUNEE SCIENTIFIC CORP,KEQU,0000055529,3821
KIMBALL INTERNATIONAL  -CL B,KBAL,0000055772,2520
KIMBERLY-CLARK CORP,KMB,0000055785,2621
KIRBY CORP,KEX,0000056047,4400
KORN FERRY,KFY,0000056679,7361
KOSS CORP,KOSS,0000056701,3651
PRIMEENERGY RESOURCES CORP,PNRG,0000056868,1311
KROGER CO,KR,0000056873,5411
KULICKE & SOFFA INDUSTRIES,KLIC,0000056978,3559
LA-Z-BOY INC,LZB,0000057131,2510
LANCASTER COLONY CORP,LANC,0000057515,2030
LANNETT CO INC,LCI,0000057725,2834
LEE ENTERPRISES INC,LEE,0000058361,2711
LEGGETT & PLATT INC,LEG,0000058492,2510
VALHI INC,VHI,0000059255,2810
LILLY (ELI) & CO,LLY,0000059478,2834
LINCOLN ELECTRIC HLDGS INC,LECO,0000059527,3540
LOUISIANA-PACIFIC CORP,LPX,0000060519,2400
LOWE'S COS INC,LOW,0000060667,5211
LSB INDUSTRIES INC,LXU,0000060714,2810
LYDALL INC,LDL,0000060977,3714
LGL GROUP INC,LGL,0000061004,3679
TELLURIAN INC,TELL,0000061398,1311
MANITOWOC CO,MTW,0000061986,3530
MARCUS CORP,MCS,0000062234,7830
MASCO CORP,MAS,0000062996,3430
MATTEL INC,MAT,0000063276,3942
MATTHEWS INTL CORP  -CL A,MATW,0000063296,2790
MCCORMICK & CO INC,MKC,0000063754,2090
MCDONALD'S CORP,MCD,0000063908,5812
S&P GLOBAL INC,SPGI,0000064040,7323
MECHANICAL TECHNOLOGY INC,MKTY,0000064463,3829
GENCOR INDUSTRIES INC,GENC,0000064472,3567
CVS HEALTH CORP,CVS,0000064803,5912
MEREDITH CORP,MDP,0000065011,2721
METHODE ELECTRONICS INC,MEI,0000065270,3678
EVI INDUSTRIES INC,EVI,0000065312,5080
MICROVISION INC,MVIS,0000065770,3679
ENTERGY CORP,ETR,0000065984,4911
MIDDLESEX WATER CO,MSEX,0000066004,4941
MEXCO ENERGY CORP,MXC,0000066418,1311
MSA SAFETY INC,MSA,0000066570,3842
3M CO,MMM,0000066740,2670
ALLETE INC,ALE,0000066756,4931
DYCOM INDUSTRIES INC,DY,0000067215,1623
MODINE MANUFACTURING CO,MOD,0000067347,3714
MDU RESOURCES GROUP INC,MDU,0000067716,4932
MOOG INC  -CL A,MOG.A,0000067887,3728
MOTOROLA SOLUTIONS INC,MSI,0000068505,3663
MTS SYSTEMS CORP,MTSC,0000068709,3829
INTERGROUP CORP,INTG,0000069422,7011
MYERS INDUSTRIES INC,MYE,0000069488,3089
NAPCO SECURITY TECH INC,NSSC,0000069633,3669
NATHAN'S FAMOUS INC,NATH,0000069733,2013
NATIONAL BEVERAGE CORP,FIZZ,0000069891,2086
NATIONAL FUEL GAS CO,NFG,0000070145,4924
TENET HEALTHCARE CORP,THC,0000070318,8062
GP STRATEGIES CORP,GPX,0000070415,8200
NATIONAL RESEARCH CORP,NRC,0000070487,7389
NCR CORP,NCR,0000070866,7370
NEW YORK TIMES CO  -CL A,NYT,0000071691,2711
NEWPARK RESOURCES,NR,0000071829,5160
NL INDUSTRIES,NL,0000072162,3562
NOBILITY HOMES INC,NOBH,0000072205,2451
NORDSON CORP,NDSN,0000072331,3569
NORDSTROM INC,JWN,0000072333,5651
MOVADO GROUP INC,MOV,0000072573,3873
NORTHWESTERN CORP,NWE,0000073088,4931
BIOMERICA INC,BMRA,0000073290,2835
NUCOR CORP,NUE,0000073309,3312
